Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgorodskaya oblast';3620053.8;3634354.6;5127772.9;6442460.2;8612421.9;9807614.5;10328698.5;12680969.1;15661455.2;18541173.4;20673487.3;23409850.2;24461341.2;25488374.6;29217823.5;32141717;34851106.6;36344175.5
Bryanskaya oblast';2810121.2;3420946.3;4343919.3;5252871;6416497;6918669.3;6945543.4;7931941.9;9018882.2;10867010.1;11832295.8;12181409.2;12698496.6;13926361.2;16545225.2;18115062.3;20260711.9;20292276.8
Vladimirskaya oblast';3269478.1;3513148.9;4752031.8;5993631.9;7987747.5;9380531;10209001.2;11592010.3;13193230.5;15122696.8;15923979.7;17420478.8;18789160.2;20614506;23543715.9;35976069.1;41203720.3;42787894.1
Voronezhskaya oblast';5998354.2;5955734.2;7603254.7;9541206.3;11866384.9;13319719.1;14318834.5;17757742.9;19008562.7;23325201.4;27115089.8;28355004.6;28977113.1;32086431.2;39046091.7;41527719.8;48875181.9;51032727
Ivanovskaya oblast';2345876.9;2779459.1;3927040.1;5422813.7;5560417.1;6570463.3;6628131;7796518;9624670.6;11156466;11736088.3;12181126.1;12587473.7;13824210.3;16047048;16945648.3;19531141;19860243.2
Kaluzhskaya oblast';2606519.5;3342635.8;4414956.1;5428663.6;6775378.2;7307887.7;7935068.4;9062749.4;11645219.1;13056427.9;15488497.4;16297349.1;16616105.1;17545232.5;20005928.1;22131079.3;25668470.3;27334479.3
Kostromskaya oblast';1624355.6;1849528.8;2383922.7;2955463.4;3628723.8;4571116.6;4713271.2;5190340.3;5767248.6;6886031.3;7855575.5;8087792.6;8163117.1;8555553.9;9816552.5;10949065;11748541.9;11859350.4
Kurskaya oblast';2208620.4;2555559.5;3403400.4;4220550.4;6104536.7;6157324.3;6291579.9;8320006;9640725.6;11836116.2;13197707.6;14132926.4;14721395.4;16322323.2;20490972;22270772.8;26512668.4;27688154.9
Lipeckaya oblast';3208721.1;3905780.1;5019120.5;5804741;7315709.9;7913836;7948723.3;9070726.5;11115330.6;12198669.7;14435467.2;15118324.1;15973556.4;16556310.5;18526361.2;20417584.9;23471584.9;23981339.8
Moskovskaya oblast';23453437.5;28777752.9;38985274.6;55126524.1;72763238;75682637.4;79214523.9;93771008.1;109808855.8;121620901.4;136353753.2;146184564.7;151036404.9;162913045.8;190295609.5;207192239.4;250125977.6;260149871.1
Orlovskaya oblast';1830093.2;2021003.3;2701206;3096656.9;3969418.4;4284903.3;4235253.1;5236414.1;6579405.9;8302858.1;9161045.7;9241370.6;9427151;10373931.5;12386387.3;13718545.2;14819110;15259228.8
Ryazanskaya oblast';3028328.1;3430628.1;4349490;5438810;6625798.7;7342086.4;7687895.7;9498241.1;11582765.8;13520258.3;14298401.6;14644986;15134121.5;16394601.3;19924777.3;21361991.6;24430893.9;25633866.3
Smolenskaya oblast';2461619.1;2696464.8;3276923.4;4027377.8;5279995.4;6206902;6505713.1;7825609.9;8757509.9;10824056.6;11746628.8;11909697.2;12741649.9;13782344.9;17264158.2;18646332.8;21182606.1;21580601.6
Tambovskaya oblast';2478323.5;2697604;3332806.2;4197515.2;5262146;5786818.9;5785166.7;7509022.4;8562349.6;9816291.3;10514483.8;11351555.9;11940599.1;12624455.7;14879187.7;15090487.5;16407427.5;17044441.7
Tverskaya oblast';3654517.2;4168443.2;5369778;6698708.4;8226762.7;9645146.4;9442180;11747474.8;12728533.6;15436758.8;16275423.1;17356443.6;17485479.4;18525832.4;22632727.5;24755197.8;27289579;28572438.4
Tul'skaya oblast';3780536.7;4403209.6;5915622;7153163.6;9509577.8;11134062.2;10895212;13025528.4;15263831.3;17203570.3;18724148.8;20220686.3;21391264.7;22499315.5;26587269.5;28267995.4;32913285.4;33697380.7
YAroslavskaya oblast';4165915;4278959.5;6246485.1;7632152;8466937.8;9392050.1;9732776.4;12096760.9;14831545.5;16989092.4;18573942.1;19538695.5;19655380.5;21617475.4;27860548.7;28767776.4;30847382.8;34800257.2
Gorod Moskva stolica Rossijskoj Federacii gorod federal'nogo znacheniya;54924781.4;69709972.2;101294856.6;140915606.8;184526988.8;224519492.4;251652096.3;302351958.8;357573179.9;388471736;416424020;430553623.1;417605148;454438831.1;541463900.3;618413210.1;711057155.2;793331093.3
Respublika Kareliya;3002431.2;3372249.9;4753053.6;5363985.1;7295178.9;8181984.5;8518907.2;10854324.3;12577157.9;14351131.2;14772487.7;14917520.7;15963789.6;16430223.7;20086441.5;20289857.8;23549405.3;23955187.2
Respublika Komi;5859704.9;5736061.4;7793823.1;9373058.2;10247899.5;12639721.8;12720118.6;16402373.4;18052969.1;21145186.6;23601216.2;23962142;23802834.9;24289072.8;28193801.4;30198555.4;36103684.9;34368588
Arhangel'skaya oblast';5816501.1;6993117;8227411.6;10589124.4;13003182.7;13997570.8;15219091.1;18639113.1;22688940.9;27183568.2;29080676.8;30496389.4;30500848.9;32653528.5;37285637.3;40110566.4;43420587.6;44079516
Vologodskaya oblast';5017113.2;6445933.8;7535370.6;9330312.3;11320812.6;11167462.5;11140715.6;13392466.3;14034335.6;15078705.6;17215409.8;18424584.7;17403246.3;18681376;21907223.2;25165094.1;27709521.8;28780261.3
Kaliningradskaya oblast';2302460.3;3277273.9;4259577;6035701.3;7666716;8167510.1;8284997.8;10451884.8;12002711.7;13691296.3;15318333.3;16264543.4;16460993.9;18159389.1;20306795.2;21556083.1;24737633.6;28563322.4
Leningradskaya oblast';4474037.2;6492875;8047279.1;10398756.9;13572714.8;14762616.2;15081264.2;17876185.8;20539310.6;22837269.7;25951858.3;27599949.2;29683236.9;33520342.2;40751903.7;44569330;51759394.9;53533382.6
Murmanskaya oblast';5007561.8;6028829.3;8336502.5;10124070.1;13139616.7;14838930;14817802;18108602.4;21156637.7;23836298.1;25579166.3;25119411.1;26501947.1;27950841;32977846;34914960.6;40826255;40754602.9
