Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgorodskaya oblast';26413535.6;33642324;45577275.1;54480155;72353512.2;63318319.7;77204421.6;91833081.6;99272829.9;96004562.5;107293249.2;129766590.8;150611629.1;153895784.6;160234126.3;145620442.8;148480421;191187967.1
Bryanskaya oblast';9109958.5;14428952.3;16459351.9;21989973.1;26865153;21639323.6;24340736.7;30569303.3;40514050.4;40737086.5;41587277.5;50347202.2;46814707;53362490.7;58607462.6;60961141.7;64410399.2;76866690.9
Vladimirskaya oblast';24765432.4;29872099.8;39898864.8;49078092;59754759.9;55835264.7;70580857.8;79516947.7;87205610.8;93623745.4;98823228;127522341.4;142566116.6;134922824.1;149959072;172774020.9;195462459.2;320514145.3
Voronezhskaya oblast';26796787.9;26830745.1;31982980.4;40731104.7;51015585;46992045.4;61956492;75381108.5;78438465.4;82250449.3;97297054.4;117718734.7;123150292.4;120532262.7;138822387.8;144352818.3;169089176.2;222013518.7
Ivanovskaya oblast';11288256.7;9208253.1;11231904.9;16880249;21484190.3;15784501.6;23819089.3;29265638.1;26947572.7;27352359.9;26488685.7;33384647.9;29694644.3;35245093.2;38901365.3;46822035.5;58704752.2;68256958.2
Kaluzhskaya oblast';16504083.5;19677848;23970199.3;33308178.3;48047242.7;45429286.2;63113019.5;89305863.7;113822695;104869856.6;110642667.3;109582163.6;136404056.2;165529510.7;196480399.5;209287052.7;221150125.4;284820978.3
Kostromskaya oblast';7020971.3;9505581.8;12102076.3;18573780.4;22827195.9;16226512.9;22609090.7;28235614.1;31697560.4;34457801.2;35501985.9;38224593.9;35526122.8;39156137;43048919.9;46639512.3;47261203.1;63105070.1
Kurskaya oblast';9047708.6;10268077.7;12262108.3;17556935.3;24327856.2;25858836.3;31205999.2;36376742.8;42035518.5;47915058.9;51703900.1;63336078.7;66469683.4;69023129.6;71503131.1;78578074.7;74223245.1;93024279.5
Lipeckaya oblast';89807639.7;80523039;99861532.5;109966156.9;138909629.9;96683259.5;101837389.9;111996806.1;94746367.3;106268597.5;163074615.3;184249368.6;194675576.1;203157060.2;258618304.9;205116377.6;225891729.3;411715683.7
Moskovskaya oblast';146342510.2;178746096.4;252825162.6;330205345.1;389654459.9;327920242.3;381288353.5;458735979.6;434410926.9;514748309.8;490298036.7;596855089.7;739044129.7;859109442.8;864158456.6;966522514.4;1073814454;1366673610
Orlovskaya oblast';10777974.2;12631101.2;15534946.2;18232261.5;21298391.6;15743891;21389859.6;23074172.5;24583336.7;30284282.3;27340725.5;35210394.6;38077963.9;38448041;34919609.6;39019323.9;42296428.7;49903231.1
Ryazanskaya oblast';16497051.8;19548306.8;24601740.8;32392396.6;38229072.9;38055848.9;49323526.8;63031564.1;65212190;72998632.5;78803015.9;94730750.4;97768566.4;109134705.1;111247421.8;116276502.4;110209213.6;133582224.6
Smolenskaya oblast';11029355.8;14625668.5;17099544.6;23399235.9;28276592.6;25096913.4;34705394.9;40170892.6;44185625.5;47575334;50749916.9;60754696.5;61354505;64820218.9;66733968.2;66412858.5;70489713;92634478.8
Tambovskaya oblast';9416635.2;9469107.2;11359094.2;13723459.3;15171698.1;16279577.6;17665064;25488201.9;26708666.4;31795860;36251540.2;40265614.9;38732101.5;37123724.6;42169519.7;41839055.6;48293902.7;55938720.8
Tverskaya oblast';18640297.6;21452669.4;28582943.8;32695697;43177914.5;32738382.2;40309508.5;53722811.9;56048931.9;56149886.5;52851434.4;60312744.9;63570289.8;70668133.5;96132286.2;89763310.4;99925863.5;114172479.1
Tul'skaya oblast';29757714.4;42375249;48830320.1;57403700.2;82711961.4;59088672.9;71666869.5;104626776.6;103694058.2;111941357.8;155192647.5;189633252.1;211048846.9;230989876.3;282910640.2;258792557.5;284298995.3;371852063.6
YAroslavskaya oblast';41172048.9;42288168.3;41751140.8;52875007.3;57940314.7;53485385.2;59837208;78053046.3;86637666.1;90144769.5;95087933;121623809.3;127474305.6;140083494.4;160143009.9;166235037.2;173546740.6;191969101.6
Gorod Moskva stolica Rossijskoj Federacii gorod federal'nogo znacheniya;374617008.4;499354966.6;616787593.7;1044914928;1159514844;1003215787;1069052207;1227511668;1341711095;1757475496;1473671408;1691232944;1586063182;2031743643;2975992384;3097796742;2711441125;3805420490
Respublika Kareliya;9309733.1;13588704;13323041.2;16843847.5;18269900.1;14983982.1;21008397.1;21865607;20425987.4;25469622.2;26493667.3;32173026.1;40610371.3;43035079.2;57820686.7;59451000;51204994.9;68467393.5
Respublika Komi;10887721.4;20125451.3;21789923.6;31090062.4;31802643;28430126.8;34442824.8;50319938.2;51356963.3;55177355.5;51880922.1;60610816.8;64415515.1;67410007.4;76117193.5;66354739.7;68534386.1;83726615.7
Arhangel'skaya oblast';27980895.9;31440520;32443457.1;39138036.9;48850328;39086183.9;46280171.4;60781051.2;54871010.4;61517672.3;70979874.5;92296325.5;96878751;124382282.7;141621920.2;137992791.8;141297962.1;178013061.9
Vologodskaya oblast';73387074.8;90086910.5;92886508.4;111925740.6;148673250.5;77697586.1;100072726.1;131432843.3;128758030.3;113087018.6;133912191.9;186132720.6;174447808.2;193170056.1;245335922.7;241413476.9;214118291.1;551761122
Kaliningradskaya oblast';14740763.1;14187914.6;14569891.1;24731148.2;32318604.9;27976951.7;33213010.5;50261141.5;58986556.4;63622012;84243430.6;84867109.4;87607536.4;93896111.2;104727366.8;106881816;101800681.8;111708074.9
Leningradskaya oblast';53080385.7;59668996;75663401.8;85375521.1;101526666.7;127901642.7;120177524.3;147239030.4;153837806.3;167375274.7;195813833.8;260215725.4;280931302.3;285453515.1;346069949.5;352987033.9;338244439.2;456948024.5
Murmanskaya oblast';27190551.7;33911459.9;40049958.7;53314837.8;33820378.5;33518667.8;40749929.4;39646352.6;37394656.6;33033678.3;38361939.8;45013233.9;39731150.9;43264247.1;55350624.1;111157880.7;260138746.9;364652160.7
Novgorodskaya oblast';16265438.7;21999200;25483502;28302817.7;39582479.1;37735541.8;38494177;49136360.7;61643811;60092654.5;69455491;84665557.6;87326754.8;81692098.1;86360994.8;97313979.8;103327482.8;141226317.8
Pskovskaya oblast';5604234.1;7316873.2;9966903;12776254.4;14468568;13239233.4;16239675.9;20939927.9;18464216.5;19651333.2;18063089.3;22731522.9;24556044;26413554.5;28090888.4;31290331.5;31129669.2;36330996
Gorod Sankt-Peterburg gorod federal'nogo znacheniya;104243074.1;139590161;181351458.9;230696448.8;299475535.7;331954422.2;402382601.5;501845066.8;534260433.1;518764686.4;527670408;602431772.8;615149074.2;644980776.6;710989389;714745351.2;729838458.7;998833974.3
Respublika Adygeya (Adygeya);1754916.3;2203034.1;2651658.9;3567075.8;4558611;5637814.4;7162914.4;8178814.1;9618839.2;10817301.5;12455762.2;15402054.1;16032674.1;16485224.3;16985924.6;17339825.5;18637999.8;21286655.3
Respublika Kalmykiya;227041.9;193202.3;222989;296434.5;591292.9;813769.7;992121.9;1110411.4;793406.2;762226.9;636239.1;706873.3;594983.1;566387.2;508196.6;711638.3;790450.5;816575.3
Respublika Krym;;;;;;;;;;;16814577.8;23747928.8;33182815.6;27415138.9;35933661;39440729.9;45860944.3;51101860.9
Krasnodarskij kraj;36119276.1;48642232.1;57239552.5;78420929.9;95693663.9;87635557.9;103207744.8;136995306.6;171753213.4;181216979.8;216901168.2;219414820.3;230920119.1;274694875.8;294079928.2;267921022.1;257608317.7;319373341
