Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgorodskaya oblast';3426667.9;3866557.4;4926023.4;5934771.6;7731156.6;10269342.6;10366731;11650394.7;14019198.2;16061750.8;16945633.6;17594095.7;18664257.7;20333888.9;21756162.6;24482316.8;27308119.1;31523191
Bryanskaya oblast';2599053.3;3018908.7;3619295.4;4375354.6;5438890.5;6200187.1;6230065.5;7600175.3;8862421.3;10275449;10393352.2;10296782.2;10646620;11720877.6;13266864.6;14053011.8;14553614;16230950.6
Vladimirskaya oblast';2714428.4;3139565.5;3856099.5;4631355.4;6078726.3;7485982.3;7425633.9;8456777.9;9082088.2;10441862.8;11024800.9;11200171.7;11685475.4;13612532.1;15135845.7;16148253.6;16226292.2;17770065.9
Voronezhskaya oblast';4687920.1;6013613.3;7436004.2;9277368.6;12063650.7;13606616.5;15311238.1;17828508;21478837.5;25284635.5;28727844.7;29905295.8;30025101.3;31206947.2;35589233.9;37655994.1;38709252.7;42212110
Ivanovskaya oblast';1659120.7;2265005.4;2716788.3;3559773.4;4540647;5524755;5483829.2;6222687.5;6956736.1;7886045.5;8650815.5;8871070.8;9013385;9490782.7;10497885.8;11203248.9;11379477.1;12416592.9
Kaluzhskaya oblast';2501557.5;3071137.6;3685995.9;4618153.9;5791962.1;6290125.4;6383350;7749099;10133775.7;11296604.2;12028380.4;12067773.8;11744800.7;12494088.8;13435808.3;14623022.6;16024998.6;17824656.5
Kostromskaya oblast';1544373.2;1885536.9;2321610.4;2891087.8;3107612;3676752.3;4255901.2;4945028.8;5473757.9;6444413.4;7327182.1;7378960.3;7347130.9;7824222;8754141.9;9501042.7;9837354.7;10758294.8
Kurskaya oblast';2905224.1;3014380.8;3650174.4;4417725.5;6145620.9;6860128.3;6689970.6;8528608.3;10876925.8;12556066.8;13477438.9;14018923.6;14487466.8;15786470.2;17525482;19038722.8;20435735.1;22798628.1
Lipeckaya oblast';2500396.4;3167931.3;3946610.6;4689354.6;5693554.6;6290533.8;6351131.2;7401606.8;8749398.5;10424087.5;11239463.4;11902352.3;12248096.9;13028623.8;14734915;16154503.1;16721759.2;18813132.7
Moskovskaya oblast';17139350.8;22449076;26427935.1;34687991.3;46667979.4;51147381.3;48455597.4;52861753.5;63125268.7;75904953.3;87689712.9;96255405.7;103632402.9;116689511.9;129203608.6;143914603.4;156600523.6;172565363.6
Orlovskaya oblast';1918347.4;2852871.7;3314523.5;4204826;5167263.7;6543676.1;6713417.1;7652537.6;8635859.2;10498488.3;11428268.7;11608775.4;12026690;12909094.8;15187588.8;15983000.6;16715157.6;17980066.9
Ryazanskaya oblast';2443832.6;3588742.8;4134246.1;5164532;6682648.9;7800343.5;7902966;9001295.1;10479479.4;12232736.5;13401685.1;13976084.9;13951255.5;15258289;17497607.9;18572830.2;19404220.4;21513646.5
Smolenskaya oblast';2366796.6;2783731.1;3184485;3891267.7;5936018.2;6114982.1;6039683.5;7236992.7;8483299.8;9306051.6;10499224.8;10403617.4;10664569.8;11535393.8;13081691.9;13836060.5;14241016.4;15248262.3
Tambovskaya oblast';2575728.5;3064260.2;3660638.3;4522879.7;5603099.2;5992448.3;5337354.4;6288393.7;7331457.3;8737562;9561488.1;9742261.3;10125351.2;10703111.3;12409137.1;13881632.4;14036599.4;15702524.7
Tverskaya oblast';3011818.1;3874499.5;4623281.8;5595372.2;6868183.6;8470774.5;8150243;9515104;11681728.2;13412591.3;13782280.8;13902363.3;14255041.6;15355190.8;16920618.3;17682581.2;17585096.7;19694050.4
Tul'skaya oblast';3123567.5;3678673;4419882;5364040;7093566.9;8561837.7;8375691.3;8854363.5;10793241.1;12095920.2;13968774.1;14821023.7;14922963.4;16881465.2;18534667;19397810.2;20486491.2;22661430.7
YAroslavskaya oblast';3133656.9;4939278.3;4916657.3;6124531.5;7495188.2;8672579.5;8486277;9647757.9;11448706.7;13939011;15588525.1;16016060.5;15924558.1;17285865.5;18812673.9;19877743.6;21397810;23067801.3
Gorod Moskva stolica Rossijskoj Federacii gorod federal'nogo znacheniya;46245556.4;62890601.8;80738282.9;111180916;146738621.8;181890650.3;199133092.4;219927059.1;264907067.9;284688562.9;292652205.8;292156711.4;307126743.7;344160966.1;407341762.1;422139054;457441002.6;531882871.3
Respublika Kareliya;2540503.2;2775297.4;3352898.8;4216109.5;5027960;5713770.3;5693229.4;6438183;7251546.7;8669846.7;8697847.6;8932419;9043753.6;9918904.4;11677767.4;12747379.4;12504789.8;14406793.9
Respublika Komi;4389566.2;4518035.1;5577663.1;6457097;7782269.8;9168956.6;8627704.1;10882855.9;13331845.1;16407483.7;17112973.1;17391200.1;17649727.8;18099911.3;20909809.9;21803300.5;21919640.4;23079539.5
Arhangel'skaya oblast';4640708.2;5637546;6502958.1;7890000.8;10244197.9;10875948.9;11208251.9;12175046.8;15314066.4;18332094.7;19224941.7;19720752.7;19673020.8;20073339;22398683.7;23713137;24345330.7;27288581.5
Vologodskaya oblast';3493398.3;4287337.8;4764932.2;5874544.7;7301752.5;7525720.5;7537723.6;7801359.5;8697462.2;10433002.6;11072678.4;10830113.2;10127398.6;11753713.9;13661061.5;14185419.4;16854565.3;18972362
Kaliningradskaya oblast';2034825.3;2815257.1;3866319.7;5206820.2;6184202.2;6384621.2;6079140.9;7467964.8;8508688;9823562.6;10871823;11424287.9;12019670.4;13124224.3;14345654.5;15490350.3;15862052.6;18317529.2
Leningradskaya oblast';3524542.6;5019504;5941430.3;6960038.3;8789417.4;8833477.8;9417329.1;10764185.3;12293591.3;14065053.2;15358164.9;16888594.4;18541510.4;20877071;23929639.1;26193001.4;27845139.1;30785776.3
