Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgorodskaya oblast';15970314.4;19670473;24315634;31139200;43128692;52360628;61961342;69142098;82905596;85415818.3;106686210;111896172.4;110988817.4;112655413.1;113706371.1;120780135.3;120461004.6;134353989.3
Bryanskaya oblast';8637208.7;10471034;14052536;17445276;23123847;23741435;29885597;39668577;46676999.7;41849629.5;49576643.5;55077917;51733386.1;54502718.1;57585308.8;62387262;60190819.7;65964005.3
Vladimirskaya oblast';8430033.3;9261293;14056891;20546784;23607338;25129633;34152364.3;35464743;40023738.9;44582009.7;46991274.5;49546640.3;48969570.1;64565293.7;67322159.4;70863413;61638938.7;79887987.7
Voronezhskaya oblast';22928506;28662029;31282462.8;43972904;52735675;60985080;71002359.4;85764736.3;105650993.1;122202744.9;145436754.6;160663704;148919057.4;166978308.7;174362486.8;189111442.8;190914843.2;226980790.7
Ivanovskaya oblast';4507176.8;5960910;7879473.4;10845942;14613143;13932779;15741132;20052154;23978188.3;36276153.4;23306038.2;42724021.6;43066610;37134251.5;38182171.2;38297843.5;38784680.6;47440219.7
Kaluzhskaya oblast';10819100;12446143;13674398;17568771;19059910;22147381;25314863;28886891;34003372.3;37884979.2;42507338.9;43367616.4;48318746.4;52411358;55024755.7;56165686.4;50468070.1;59889834.7
Kostromskaya oblast';4603575.3;4616589.1;5502443.8;7576983;9466602;10447425;16151362.1;18727225;22773429.1;21343263.9;21458114.2;21778697;25134582.5;25060788.6;25976942.8;25343231.3;20920663.9;25636727.6
Kurskaya oblast';6084176.2;7163076;11457168.1;16987470.7;22704497;20311846;15932189.1;19046326;21119684.7;23704787.1;26095382.1;30880336.3;36382358;40177031.2;48498222.6;49104558.4;49018856.6;58874447
Lipeckaya oblast';11881836.5;15106309;17131603;21954071;22703208;21234138;27995962;30661047;39713538.1;36291595;37327507.3;48385425.5;48012229.6;48263162;54493904.6;56266782.5;61466782.8;73500878.2
Moskovskaya oblast';102675076.9;141522791;205122189.8;321325973;431802834;317347402;440028398.8;513504373.6;601027732;554272399.4;615480600;850501448.7;917616808;919210944;1008339422;1054789335;1032178513;1510453469
Orlovskaya oblast';6910041.2;7781845.6;9367554.6;11167680;14875794.2;14691913;17952051.2;20405818;20418408.9;23394691.9;28102122.9;31524334.9;31584704.2;34777127.5;34591855;35981467;34209781.4;40397843.8
Ryazanskaya oblast';15033880.6;16534954.4;20130553.6;21565718;25250269;24561928;32718919;34824732;50541690.3;52480224.7;54190153.2;53118446.9;53296269.5;57138928.8;61863350.2;63793749.6;61356481.8;71255090.3
Smolenskaya oblast';11345835.2;12469617.4;15273637.6;16198249;22938817;24319952;30016468.2;34020139;37881293.2;44016451.3;47290763.5;46948739.3;47855008.2;49140516.2;53776978.1;55833468.1;60706057.6;70239949.5
Tambovskaya oblast';13166743.9;14651670;17512343;27770517;29248023;34163363;37307343;35075873;39305493.9;42570231.5;47277538.8;47201680.6;48728604.7;49545670.2;52269905.2;45512159.9;45350326.5;50510009.9
Tverskaya oblast';14376326.3;15881186;22114032;29330870;32370570;35003950;40099292;39067838;41807700.2;46765472.7;49686724.1;52144390.2;61210761;60094313.6;58864877;72958043.1;70054825.2;76314408.7
Tul'skaya oblast';14558320.3;20253897;21927983;28019391;28257361.8;30597204;34543583.7;32547453;45513973.6;51517796.7;52536019.6;60860700.1;63653340.6;64923887.8;62593152.4;60969261.5;58326034.6;66935905.2
YAroslavskaya oblast';17085676.8;20275346;26203843;32444777;34376063;29687118;37859825.1;46467979;59866499.9;65712755.8;68484966.7;71157464.6;78212897.5;81479797.8;89381702.5;90298110.8;86257350.1;100194651
Gorod Moskva stolica Rossijskoj Federacii gorod federal'nogo znacheniya;1178929914;1834283291;2352105857;2621218178;3295041282;2394531262;3131153445;3856159839;3510566245;3970368349;4739152173;4378161728;4165540732;4702188341;4985289115;4984029537;4717847558;4516644958
Respublika Kareliya;7970921.9;9590602.8;11395876;15000936;12850385;12432060;13638539;17140672;20649391.4;19999130.2;21317445.3;32505122.8;19336326.5;24677611.4;19721692.5;20160378.9;19647486.9;20302963.2
Respublika Komi;14916166.2;15171981.1;20585234.4;25469651;25816772;24967805;24280444;24132980;24753879.6;28169389.3;29809740.1;27602901.2;27237506.9;31036912.7;31589996.7;30672745;29608722.6;35737867.9
Arhangel'skaya oblast';16152453.1;18933799.4;25423055;33377966;29633807;29558920;30734947;41147115;36310448.7;40489322.8;43940515.9;49618584.9;48935893.8;50231049.2;54978931.8;53782322.6;50927910.7;54139676.8
Vologodskaya oblast';13206173.5;12817209;14194382.5;19160380;21106980;19257350;22389114;30094654.7;33332665.7;41464212.2;47436819.2;55668634.8;59349475.6;64360885.6;69847305.6;69954774.6;62254347;69283520
Kaliningradskaya oblast';13100721;13930722;19991113.4;25455754;35278119;35427747;41952915;39204049;35050850.7;38641065.9;44407073.6;47312401.7;47907241.3;52123746.4;54620056.2;55346426;63904490.4;77304643.4
Leningradskaya oblast';16278337.8;24329907;26443009.4;36550972;47457220;41796150;51717493;67293118;74554584.5;83730505.2;90340325;101886766.1;108168191.1;115564377.6;118283448.6;118764653.4;114751444.3;151900779.9
Murmanskaya oblast';12711415.5;15006047;17264390;22260778;23350026;21163483;22686372.3;25410697;27152506.7;29735917;31233553.8;40384788.7;44320033.5;47046221.2;42901880.9;45369460.4;39871636.5;46206574.3
Novgorodskaya oblast';8168094.9;9283064;11146656;13651317;16071650;17001545;16556114;19122612;19101962.7;20318941.8;23358723;22010378.4;21487262.4;22528717.9;25501241.1;28482708.3;30034064.2;37207219.8
Pskovskaya oblast';7476527.2;8836429;10186575.2;12005608;13990074;14849106;17888292;19210568;20036773;21709819.3;23897145.2;23672143.2;22275473.5;24307548.4;25645244.1;27089971;26828377.4;30498001.1
Gorod Sankt-Peterburg gorod federal'nogo znacheniya;152156561.7;165680912;196099848.6;268746233;316828590;300196568;320695479.1;428015630;438321690.9;518062940.8;567524705.9;684455395.8;746927669.2;671946668.2;745949442.8;829883956.2;793066612.8;3756670673
Respublika Adygeya (Adygeya);1820288.2;3097943;4412516;5714356;6965614;8524300;8159244.1;12027119;14997474.4;13955783;12373567.7;13200198.5;13554149.5;15427242.2;14354111.9;17864035.5;17811921.3;26103619.1
Respublika Kalmykiya;739072.3;724564;1085232.6;1267284;1636189;1949605;1524910;2171845;2816034.1;3608372.1;3392520.2;3932832.2;4169783.1;3877499.7;4146334.7;4502815.2;4424216.8;5538987.8
Respublika Krym;;;;;;;;;;;21613863.3;41688423.3;52383748.5;62319192.8;65721314;69063424.8;61735786.4;77155539.3
Krasnodarskij kraj;43709806.6;53329916;79757798;117317308;133667574;145239946;171207922.9;201999124.4;246745723.4;280926021.3;321904179;339130706.4;371161867.9;389158762.8;382761686.4;373289073.6;398552253;479792303.9
Astrahanskaya oblast';5338215.5;6177014.4;7961091;9714489;12786353;13431186;16332005;18906944;21555912.6;30318858.7;35856709.3;39565750.5;37286810.3;36277185.4;36641462.3;36946865.9;36053103.8;39132701.9
Volgogradskaya oblast';28562343.3;32678471;38308905;53862150;58519631;54178835;64506949.1;76096365;86984803.9;92367797.4;103545194.3;104631787.2;93200315.1;100507378;112721309.7;115416236.8;104011415.7;138468415.7
Rostovskaya oblast';52545137.3;60987711;75248080;96304358;115307420;98472450;118552482;147608675;166182232.4;182391603.9;194413755.9;221348477.2;232122630.3;240574327.5;260699832.9;259855479.1;269585481.8;355953288.9
Gorod federal'nogo znacheniya Sevastopol';;;;;;;;;;;6090401.6;8042739.7;10913493.6;11570675.1;16122758.6;17209382.5;14088795.4;20786759.9
Respublika Dagestan;18511800.8;17930552.6;26542274;39681761;51081016;68840671;74026480;89736276;96844985.1;115972989.1;138378147.1;161235460.7;160252700.3;154017888.2;144181472.2;144377747.9;135288524.1;147428454.2
Respublika Ingushetiya;687278.2;1160057.7;1179350.4;1546011;1904261;2202672;2280008;4366498;4907632.7;6602968.2;9388356.2;5337656.7;5746771.1;5262942.5;6649615.8;7584058.1;5176373.5;5985929.6
Kabardino-Balkarskaya Respublika;6101676.6;6974475;8226538;9079230;10364901;12528975;15154649;15932746;17330145.3;19604682.8;21896692.6;22925511.5;24170910.3;23184832.5;23596774.9;28170492.6;24829408.4;32306761
Karachaevo-CHerkesskaya Respublika;2258212;2734306;3729683;3699432;4297772;4701437;5628982;6081427;6260523.6;6947857.3;6765352.2;6233807.3;6853566.1;7277746.3;7868711.8;8056142.8;6726409.6;9330942.1
Respublika Severnaya Osetiya-Alaniya;4986710.5;6130825;8044988;10469438;10533791;13575079;15521760;16997385;19218321.1;22301613.7;22613382.2;21837436.7;22456304.8;22059927.2;24489557;26459478.8;21937790.4;25974406.4
CHechenskaya Respublika;0;3467233.1;3631343.7;5572862;8091412;10481534;16189172.4;18577308;19739287.7;22374206.1;24227934.8;27122531.3;28790407;29081470.7;29759220;30267931.5;28791239.3;30015692.8
Stavropol'skij kraj;20959761.9;25258040;31772287.1;42190725;55251656;57460557;67885701;79782218;91209210.8;93412095.7;97522772.3;103684667.8;98674876.6;108831704.1;112594178.4;122550910.9;126290367.2;143805626.2
Respublika Bashkortostan;32614765.6;39949994;52815818.5;74753623;112578145;108601213;120556698.9;135869160;175943896.8;211400063.5;225223598.9;203346259.1;209373358;215982579.8;217275409.2;229646384.4;201280124.9;230129910.5
Respublika Marij El;4251063.6;3805634;5763711;7644641;7117007;7056132;8311432.5;10352142;10095873.9;12049502;14679139;17043274.7;18110735.5;16366868.5;18347833.6;18861420.4;17105014.2;21640197.7
Respublika Mordoviya;4467306.8;4797377;6131788;12189187;10645857;12391799;14882906;13147904;15081573.9;16929873.8;20474913.4;18654801.2;22001488.5;21635908.7;24495448.8;25508469.3;23450689.1;28209565.8
Respublika Tatarstan (Tatarstan);51392036;54230390.8;66067950;91356722;120580000;119590861;140792571;179326705;210889648.1;219978040.6;246775087.8;256229520.6;264561823.4;263422067.3;283101281.4;290284917.8;291687283.8;331004266.4
Udmurtskaya Respublika;12411096.8;13731985;17324078;20784736;26168771.7;23758934;34094878;39598316;47034785.7;48111550.6;48670521.8;54022268.4;52570249.4;52469669.5;57620824.7;57951335.7;55526152.1;61063499
CHuvashskaya Respublika - CHuvashiya;9660344.5;9950482.2;13568739.1;20229874;22024250.9;19780074;22387035;25547667;30106472.5;31699493.3;34627249.9;35728654.4;35821635.6;37028387.5;40527814.9;42851296.2;39647798.4;50146861.7
Permskij kraj;42310971.8;46234499.5;48017185;57378925;77163358.8;70496373;93205580.5;111243434;104285128.2;111716389;122167502;129277330.1;124257130.1;123192624.3;135764306.9;139480001.8;112264257;142061312.2
Kirovskaya oblast';9486905.6;9892494;11854533;14995064;19424017;19695829;25313453;26247419;28456834.2;32044142.4;34941110.9;38100195.3;39831275.3;42000511.2;43130706.6;44171258;42586039;50960081.5
Nizhegorodskaya oblast';41878159.6;63043156;73836795.6;97887806;107012803;87318385;102051290.1;131121201;132012257.8;143124713.3;168371790;180184785.9;182579811;219676446.9;241416258.1;266003718.4;234735322.6;342960052.7
Orenburgskaya oblast';15586760.3;17476336;27024073;35208689;37606324;36023437;40517552.1;44944984.7;51355978.6;61043573.1;62524769.5;59173016.3;51295196.4;53860050.6;66353430.4;68920550.4;69828061.8;94465751.4
Penzenskaya oblast';11109046.4;12128668.4;14060532;18710032;23342068;23736042;30465391;34644777;35941795.6;40412136.3;48452644.7;54235955.2;53282788.8;51853969.9;62724086.6;65139121;60406630.6;65390085
Samarskaya oblast';47208568.6;59672484;76320901;87965193;95670571;85258507;92532958.5;97547985;109412934.1;127372485.5;135222688.1;132780406.8;129160870.1;147219435.4;160856399.7;172887418.4;163936621;208360478.1
Saratovskaya oblast';21736298.1;24896486;27971683;35238182;32869587;32926243;45910471;55179513;57269440.1;68562462.1;76867956.2;78378001.7;71382609.3;78632589.3;80450436;73576176.7;77220333.4;102719600.6
Ul'yanovskaya oblast';12116139;16314675.3;18666601;24451895;26361253;25853469;29245620;32413823;40495950;42478297.4;40362000.4;36455628.3;41468425.7;43322265.3;43755487.1;47431304.8;44494823.4;57471388.9
Kurganskaya oblast';6357576.6;7187833;9353028;12712072;14477889.5;15229099;16471383;17537585;19120674.9;20416313.9;21489630.1;20034201;19033664.9;20162961.8;20145930.4;22259005.4;19482277;23650679.6
Sverdlovskaya oblast';57863601;103301357;145559226;181620884;176989243;165426511;212289103;246177466;322135722;327746454.3;350238442;329398020.7;382563538.3;365772544.3;348176927.8;327297200;330939225.6;479610971.8
Tyumenskaya oblast';62431860.5;332209810;347597774;360796158;266833019;250517492;250688242;328462160;337584643.4;370794433.8;381837488.2;399238138.5;366286154.2;385754128.1;309277149.2;282109787.5;251776185.4;292233665.7
CHelyabinskaya oblast';34221969.3;43789657;66714218;85899573;97376123;83568510;92137877.3;98081963;109173659;119620287.8;129380124.5;141898408.1;155820139.2;157235198.1;161970646.5;166611303.6;156997705.6;194166043.4
Respublika Altaj;1165403.4;961679;1034042;1321628;1858028;1762297.4;1881832;1851833.4;2315941.5;3193996.3;4540113.6;5520080.9;6788655.1;7386541.4;6357484.1;7403073.4;8306614.8;10747944.9
Respublika Tyva;1214591.2;1555103.5;2013386.6;2468129;3210888;3188309;4010925;4399514.5;4421229;4065412;4543412.8;4653373.8;5002900.9;4983733.4;4565625.9;5531414.2;4649703.7;5366856.6
Respublika Hakasiya;4020189.1;5505103;6685662;6452871;6953340;7218614;9761883.9;12755500;20689291.8;19642663.3;24064780.1;25157718.7;25318014.7;25811399.8;24603047.8;29466124.1;23480224.8;26178181.2
Altajskij kraj;22035860.8;29479913.4;36401322;53091609;55340547;50157904;58139155.8;57702343;61921166.8;70319483.1;74552540.2;76630799.5;73586005.2;76271911.9;85468420.5;92130641.8;83822763.6;106250992.8
Krasnoyarskij kraj;29966807.1;35906275;36158874;52675831;70047163.3;67271698;77142630;91300903;110474912.7;113793836.1;118504720.2;118013881.3;117880591.9;127217118.9;141118288.6;141539848.9;139392418.7;161707376.6
Irkutskaya oblast';37545452;34193629.1;38161975;55594047;51399407;54587955;58774434;70536310;78342315.3;79905041.4;87298491.5;93009457.5;97608257.4;107134051.1;112785434.6;128480505;113655481.7;150307527.7
Kemerovskaya oblast' - Kuzbass;35100614.9;40832300;48856554;65064787;79108028;72909302.3;77085762.2;89154266.3;78549248;66239221.1;70856939.5;83107340.7;84215962.4;95917572.7;109285362.2;110037984.4;104083913.3;161991052.9
Novosibirskaya oblast';28251243.9;32458046;49172805;64634501;83705017;62066344;88750156.6;109852453;118729210;138105805.5;163111786.2;180227785;164411360.6;182769980.6;200468683.2;208123428.2;213033670.3;265402904.7
Omskaya oblast';17841600.9;23889302.4;36467462;42428282;46454095;42228011;50382270;58567472;66555374.9;72785668.8;79359083.5;76930444.2;72646326.9;80158820;78302239.9;78868376.1;75721602;88414784.2
Tomskaya oblast';13030401.7;15426284;18289317.9;21993103;23097696;22668042;29391529.5;33188279.5;37015293.1;38565051.6;42811603.8;40589240.1;44666806.4;43886887.2;44537220.4;49774045;47247447.6;60372864.9
Respublika Buryatiya;8382318;10572468;13620545.5;16971257.9;15468164;14937857;16936516;18594696;21995703;25106759.2;22888777.3;29085621.5;31146810.6;30602011.3;28627014.5;29965230.9;32111685.6;35655449.6
Zabajkal'skij kraj;7989135.2;10277233.1;12407082.9;16023509;20603420;21213499;23125010;26800899;29927388.7;25824334;31570388.9;30129902.2;29953980.1;27342527.6;33376177.1;30866321.1;32192823.8;35983532.7
Respublika Saha (YAkutiya);15572143.8;17948213.2;19204268.4;21488827;25492731.6;27603477;31031546.1;34236307;37583210.2;40989307.5;49569518.5;50885490.3;53366504.3;54509601.9;62795340.9;70819065.2;63847012.8;67050686.4
Kamchatskij kraj;4265271.3;5285925;6408923;7246721;8867941;9327465;10769330;11528977;12552559.2;13255477.1;13977054.5;15665324.7;16053536.9;16310694;16937807.3;18462176.3;19061087.9;22255959.9
Primorskij kraj;31576710.9;38756854;44529239;62047471;69093470.7;66884281;75783286;85890579;101428361.9;108063572.5;127158799.9;144243322.1;133450004.5;147380157.6;160594025.9;169907956.6;169680990.7;211072792.5
Habarovskij kraj;15085921.3;20945050.8;29001866;33991774;38779169.2;41598861;49359575;53147688;64745750.1;72485359;84244130.5;91429640.3;99438509.8;99485258.3;113517323.5;120001899.4;114748578.4;130774629
Amurskaya oblast';8560813.4;11783141;13916929;16087875;15252495;16097430;17738406;22325498;23182984.9;24313993.4;28596932.4;32541579.5;31448586.9;34647137.9;38813707.4;39013304;38291739.2;47949907.4
Magadanskaya oblast';1928968.4;3682381;4134422.2;4262135;3935320;4468786;5904281;8534172;11040115.5;11633434.6;11119950.4;10806870.5;11083125.6;11978498.7;14927997.7;15956844;16187197.4;19862469
Sahalinskaya oblast';9081814.9;9177892.5;12710728;17780544;19065430;21177624;25124980;30862999;30434034.4;31484865.6;44757924.9;43078427.6;43014839.6;40532981.1;45472273;43281692.4;40624232.4;43399820.5
Evrejskaya avtonomnaya oblast';1509666.1;1704639;2066762.5;2228187;2557368;2447388;3160525.5;3285932;3694583.7;3937614.8;4115920.8;4499208.1;4190596.3;4151783.4;4053412.7;4496828.3;3743949;4341983.9
CHukotskij avtonomnyj okrug;743818.2;1093793.5;970839.4;1338529;1784575;2028873;2692206.8;2732502;4906742.4;3582303.2;4369272.9;4012743.8;3233428.2;4342124.3;4923508.6;5612837.5;5792495;7911608
