Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgorodskaya oblast';411795.7;822821;958494;1143508.2;1862987;2040307;2031933;2000848.8;2421279.4;2875100.7;2989514.2;3251442.3;3406082.1;3693715;3762897.6;3899482.8;3820780.3;4433854.1
Bryanskaya oblast';458554;941442;1242924.5;1568370;2057274;2012868;2258724;2622252.2;3400974;3785088.5;4512121;4869497.7;5363963.6;5692447.4;4967942.5;5367336.6;3220489.7;4254966.3
Vladimirskaya oblast';569015.7;933182;1042060.3;1412344;2001253;1997962.2;2028135.6;2752656.3;2811109.6;3068284.1;3291482.8;3993638.9;3670065;3693631.4;3913028.1;4800085.1;4069303.2;5798552.9
Voronezhskaya oblast';1329534.4;1564425;1354277.5;1806922;2130233;2004230;2512093;2903087;3850541.4;4732937.7;5317102.4;6656497.3;6218538.2;6834260.9;7642352.2;8774726.7;7302400.1;8986438.9
Ivanovskaya oblast';508912.9;418493;517367.4;1010332;1027337;1029991.9;1293079;1327930;1333720.2;2152897.1;2463994.8;2501161.9;2539004;2626267.9;2594980.5;2812769.7;2483861.7;2696340.8
Kaluzhskaya oblast';262703.4;300693;651118.7;830725.3;1106664.2;1276896.3;1729965;1915446;1944637.1;2576582.9;2726168;3061613.9;3585957.8;4571575.9;4987794.4;5560200.8;4281586.4;5593726.5
Kostromskaya oblast';174293.2;185153;420234.2;594472.1;737314;785844.5;926958.1;1206239.4;1124026.6;1479652.2;1619132.1;1838999.5;2095864.9;2106587.6;2205599.5;2488851.8;1883277.9;2279031.8
Kurskaya oblast';96166.9;364937;389190.4;544704.8;819476.2;755256.2;786297;1014530.7;1151092.9;1508362;1649627.7;2492537.8;3030001.7;4229976.8;3822276.6;4134017.7;2832654.2;3005416.9
Lipeckaya oblast';377881.3;608932;634834.9;751621;1263477;1185837;1461778;1698837;1950740.2;1932495.9;2190648;3242729.2;3244861.3;3310563.8;4574437.9;4452108.7;3569245.2;4500350.5
Moskovskaya oblast';6631255.6;10738948;13966418.3;19004646;25721550;23408613.5;28971909.8;33497319.6;37687973.9;38130933.6;36840956.9;33733112.8;44179419;44047660.2;55342176;59352245.2;40523840.5;62231115.4
Orlovskaya oblast';320437.7;373528;709792.1;727950;790112;756379;887904.1;1051768;1041258.7;1326277.4;1477529.2;1528570.3;1445841.8;1496479.5;1653313;1793809.2;1408402.5;1658011.4
Ryazanskaya oblast';295913.9;565904;630350.7;832280;1325057;1299749.5;1246166;1506691;1474017.1;1855694.8;1945137.7;2178307.4;1921417.2;2063479.8;2461784.7;2960764;3240792.6;4525886
Smolenskaya oblast';1333604.1;1006157.7;962942.6;1090740;1460813;1093106.7;1415559.9;1824065;2003738.2;2264465;2591585.5;2715058.1;2694386;2883340.2;3064410.2;3150820.9;2566878.9;3151541.9
Tambovskaya oblast';125673.2;324736;383938.6;642097;985439;951327;1002792;1149568;1226081.5;1513067;1678630.6;2093864.2;2009044.8;2287545.6;2641234.2;3163783.5;2735471.2;3078849.2
Tverskaya oblast';916458.5;1137294;1344091.8;2005309;2062854;2224484;2702866;3061323;3576326.5;4434596.4;4478944.6;4366501.4;5103670.9;5305350.6;5758484.6;6572609.5;5321591.2;7132511.8
Tul'skaya oblast';340439.9;829654;892549.9;1540035;1856795;1616012;1759913.3;2019027.3;1957780;1997652;2216044;3209009.6;4787848.6;4898640.7;5099719.5;5206787.2;4233853.4;5762398.1
YAroslavskaya oblast';1444557.1;1535993;2033973;2343062;2314277;2367970;2478274;2770002.7;3120211.8;3613587.9;3985235.1;3705287.6;4366308.1;4502798.3;5041778.4;7259083;5064921.9;7549123
Gorod Moskva stolica Rossijskoj Federacii gorod federal'nogo znacheniya;45254083.8;50505504.1;59576138.1;73188724.4;78186723.8;67930376.5;72262659.5;81513194.4;90315542.8;110473209.5;129580237.6;108272635.6;118486651.7;130776688.1;165808846.5;159207004.4;147143412.4;236849071.4
Respublika Kareliya;311891.9;449076;676828.3;907311;872354;914970.8;896235;1388496.5;1401422.8;1525741.8;1817525.5;2168293.9;2286952.2;2596631.7;2760990.6;3011015.8;3414569.6;3836577
Respublika Komi;478628.8;812625;1129808.3;1159718.8;1160040.5;1560766;2257806;3008002;3364330.9;3579065.6;3770239.6;3682904.4;3896534.4;3848735.4;4184495.6;4440116.3;5312385.8;5515965.7
Arhangel'skaya oblast';3036458.9;985815;1650940;2256869;2431188;2471956;2954649;3627952.1;3869340.9;4323762.5;5346896.6;6163990;7177516.5;8083857.7;8527948.5;8143414.7;6221227.5;8376109.4
Vologodskaya oblast';953936.7;1010704;1283085;1593513;1608681;1532673;1742911.5;2005249;2356762.5;2325157.8;2477890.9;2663930.8;2766274;3160558.4;3441033.9;3895567.5;3439760.2;5033252.5
Kaliningradskaya oblast';811496.5;1174522;1398097.7;1594415.1;1575977.4;1515267.8;2093315;2379013.9;2258547.6;1897788.4;3262152.9;3428071.2;3514775.9;4191736.7;4935382.5;5456343.8;4789014.1;7559998.6
Leningradskaya oblast';703308.8;1155019;1369030.9;2209181;3063024;3002596;3518540;3956117;4830323.5;7971403.5;5807262.6;6062707.6;6402259.9;6787298.4;8319552.7;10108398.2;9116116.9;10566494
Murmanskaya oblast';526488;970210;1256924.9;1999378.2;2523713.3;2658226;2926374;3421159;3627167.7;3877084.4;4332962.1;6056392.8;7605495.1;7728832.4;8224494.3;8824441.9;9083120.7;14069920.7
Novgorodskaya oblast';1448015.7;531484;490380.6;771564.1;1299132.8;1500562;1869455;1925762;1807988;1804136.4;2052193.4;2627401.7;2621377.5;2803745.8;3169938.4;3282682.1;2455125.6;2877098.7
Pskovskaya oblast';311006.1;482176;767689.6;955997;1019091.7;1073783.5;1150539;1332224;1548031.2;1715249;1835494.5;2229034.3;2485311;2464259.6;2907659.6;3184423.7;2850660.8;3516285.7
Gorod Sankt-Peterburg gorod federal'nogo znacheniya;8427791.6;9737205;10593392.3;16565035;20933453;18685442;22644442.8;25695065;31183533.3;33024523.5;32369097.7;37408607.1;42631358.7;49381879.8;59637448.4;67125174.7;31999716.4;67850978.3
Respublika Adygeya (Adygeya);89782;86019;149971;191611;342548;420040.9;455676;568806;609258.9;711893.8;940488.8;1189661.8;1181560.5;1711441.9;1826217.4;1836273.6;1296512.5;1604588
Respublika Kalmykiya;50187;63145;73876.7;107061.3;141667.2;146680.4;150697;186648.9;219286.2;199317;191772.3;147893.1;161040.7;174292.9;254257.7;230657.8;205483.2;290315.6
Respublika Krym;;;;;;;;;;;3783442.4;6499252.1;9367599.3;10123325.8;11248145.3;14424102;15235690.6;25059433.5
Krasnodarskij kraj;6678395;8812197;12351782.4;17929100;21804141;24436001.2;27833319;33368909;39797785.9;44932285.3;55941338.5;56779233.6;64957755.2;72569591.4;73569165.1;74797837.6;68897870.8;78612021.3
