Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgorodskaya oblast';3 276 476.4;4 163 197.1;6 742 572.6;8 624 866.6;12 483 427.3;12 520 517.9;13 358 782.9;15 907 049.1;20 529 226.9;22 301 507.4;23 461 836.7;23 390 469.1;29571429.7;30994267.8;34303685.8;35411777.9;38121107.7;40191388.4
Bryanskaya oblast';3 265 515.9;3 968 077;5 527 885.9;8 493 132.8;10 866 453.8;11 922 366.8;12 407 409.3;13 881 358.7;18 073 594;20 044 950.3;21 187 667.7;20 820 301.5;24090067.6;24083619.2;26203826.4;26878604.8;28790157.9;30540304
Vladimirskaya oblast';3 282 326.1;4 478 299.8;6 019 873.9;9 073 940.7;11 982 337.4;13 321 713.6;14 065 180.2;15 599 418.4;20 736 113.9;22 686 527;22 470 643.4;23 703 564.3;27168266;27007113;28891161.6;31001683.8;32769491.3;34608597.9
Voronezhskaya oblast';6 157 164.1;6 676 213.2;10 852 303.5;14 111 608.5;18 508 142.7;22 434 276.3;22 491 206.7;27 276 577.5;33 999 199.6;37 038 355.3;39 154 027.6;38 458 689.9;52382508.2;54652507.2;57876841.7;61284251;66572503.6;70148021.9
Ivanovskaya oblast';2 375 626.4;3 062 076.8;5 035 323.5;7 092 234.3;8 776 300.6;9 908 578.4;10 441 840.7;11 493 771.6;14 278 147.3;16 209 722.5;16 592 184.2;16 291 443.9;22336274.6;22441487.6;24149725.5;24819929.7;25169978.4;26336243.4
Kaluzhskaya oblast';3 147 211.3;4 007 818.5;6 341 924.4;8 039 318.7;10 590 463.9;11 491 950.2;12 213 789.7;13 583 318.3;17 777 072;19 435 572.3;21 248 166.3;21 102 069.4;23334578.5;24334112.7;26741761.8;27674212;30212168.4;31629888.2
Kostromskaya oblast';2 651 066.5;2 679 658.3;4 502 183.5;5 747 205.2;7 492 269.5;8 426 660.9;8 765 778.2;10 120 329.2;12 591 680;13 771 599.5;14 267 987.9;14 297 649.4;16170853.6;17057072.6;17320137.1;17887693.3;18872393.2;20022845.2
Kurskaya oblast';2 968 564.3;4 007 663.5;6 375 689.9;8 036 231.7;10 233 187.4;11 427 452.4;12 049 851.9;13 143 224.2;17 155 115;18 938 219.1;19 733 551.9;19 606 341.8;22322377.4;22953522.8;24400970.1;25414931.4;27108699.7;29193843.4
Lipeckaya oblast';2 996 625.1;3 634 538;6 260 333.8;7 632 043;10 094 321.6;11 049 086.5;11 697 859.7;12 878 491.1;16 048 539.5;17 760 192.8;18 311 960.3;18 132 443.1;23635243.2;24626989.6;25653495.5;26874620.4;28819397.6;30231731.9
Moskovskaya oblast';22 930 844.7;28 601 374;44 004 987.8;57 523 384.4;83 315 147;92 226 527.3;98 483 758.2;106 248 016.6;147 624 365.7;174 405 758.5;192 534 531.3;190 297 730.5;353581475.6;371732076.9;389850149.5;425897480.8;433881126.5;465292751.1
Orlovskaya oblast';2 222 024.9;2 662 008.2;4 747 133.7;5 983 250.1;7 756 737.4;8 495 673.4;8 982 810.8;9 915 452.1;13 112 746.5;14 284 633.5;14 831 083.4;14 499 257.8;16017790.8;16291456.9;17355581.7;17914890.5;18662616.3;19813462.1
Ryazanskaya oblast';3 318 473.7;4 530 099.6;7 631 938.2;9 256 105.7;11 483 219.2;12 609 746.8;13 514 589.8;15 036 994.8;18 794 293.5;20 498 364.8;21 541 356;21 469 982.7;25780956;26078499.1;27509936.8;28206554.3;30803024.9;32436553.8
Smolenskaya oblast';2 543 298.7;3 567 192;6 027 198.8;7 546 192.6;10 169 296.6;10 976 559.2;11 769 563.4;13 038 080.6;15 716 690.5;17 546 982.5;18 241 027.2;18 255 613.2;21262864.5;21901570.6;22861824.4;23648460.7;25522614.8;26675322.5
Tambovskaya oblast';3 267 875.7;3 403 596.2;5 703 005.4;7 482 200.7;9 284 646.5;10 569 650.9;11 155 127;12 552 152.2;17 061 550;17 804 955.6;18 665 631.9;18 632 254.6;22510013.1;23299588.5;24291372.6;25658497.2;25161249.5;24467846.1
Tverskaya oblast';3 827 507.3;4 638 365.2;8 387 187.8;10 653 215.4;14 059 145;16 401 150.2;17 814 803.4;19 657 899.1;24 201 662.3;26 189 727;27 342 636.1;26 935 497.4;30166189;31322529.4;32587015.3;34534959;36620427.7;38071603.6
Tul'skaya oblast';3 723 787.4;4 446 053.8;7 907 473.6;9 870 892.7;12 772 880.7;14 777 511.1;15 362 314.4;16 470 227.9;21 320 316.3;22 871 592.1;23 403 728.6;22 857 841.4;25454949.6;25879956.4;27554208.3;28900344.3;29921073.2;31674613.3
YAroslavskaya oblast';3 886 209.3;4 907 482.8;8 153 146.4;10 151 658.8;13 149 536.4;14 411 293.6;15 060 309.6;16 270 598.7;20 671 002.9;22 715 128;24 074 208.7;23 957 980.7;25680245.5;27350146.3;28660250.4;29423478.4;31407195.4;32501106.9
Gorod Moskva stolica Rossijskoj Federacii gorod federal'nogo znacheniya;45 389 528.3;65 871 219.1;123 552 110.6;162 009 007.8;219 456 921.7;258 847 756.4;275 296 118.3;322 647 687.9;519 061 631;610 660 209.6;681 153 883.6;679 703 836.5;848580564.3;855127831.8;939315149.9;1012856492;1111049774;1212133730
Respublika Kareliya;2 999 083.9;3 755 349.9;7 395 729.5;9 070 813.9;12 197 882.7;14 023 300.9;14 451 212.3;16 003 030.8;19 033 673.7;21 163 056;22 557 931.4;22 228 850.6;26740979.2;27038798.6;29709753.6;30986064.3;31792269.1;33954136.5
Respublika Komi;3 563 360.4;5 861 643.6;11 287 321.4;14 369 341.9;18 600 502.5;21 975 689.8;22 687 373.2;24 041 998.2;28 289 765.5;31 236 755.6;32 664 722.9;32 663 187.8;39253439.9;40699541.1;41689815;44045330.3;47756894.6;50623549.6
Arhangel'skaya oblast';4 652 749.6;6 503 393;12 587 797.7;15 876 192.6;21 366 189.4;24 432 069.7;25 159 397.8;28 334 491.2;33 818 034.6;37 039 951.4;38 941 350.9;39 277 919.1;55953341.8;56385579.6;60475412.6;65126390.1;66712604.3;70862019.1
Vologodskaya oblast';4 217 880.4;4 683 302.9;8 448 917.7;10 404 575.8;13 546 228.7;15 276 089.6;15 951 802.3;17 899 977;22 920 831;24 362 984;25 757 582.3;25 227 344.9;29960500.2;30425080.9;32290341.4;33704780.6;35307080;38039819.3
Kaliningradskaya oblast';3 695 971.7;5 249 425.2;8 027 373.6;9 901 584.4;12 241 306;13 633 386.1;14 685 787.4;16 291 717;21 230 939.4;23 257 578.8;24 699 743.8;25 964 673.7;29556244.8;30301994.4;32169202.9;34205709.4;36851847.3;38903935.9
Leningradskaya oblast';5 012 577.9;6 449 972;9 185 637.4;11 559 854.6;14 123 792;16 759 684.1;18 244 956.9;20 395 959.6;24 593 291.5;26 832 381.3;28 297 002.4;29 495 938.2;43909834.5;45232879.3;49060405.6;51956448.4;57118954;61298753
Murmanskaya oblast';4 726 197.6;5 987 033.9;11 409 210.6;14 191 013.8;18 547 605.1;21 483 147.8;22 700 090;24 823 863.2;29 535 527.7;32 454 744;32 984 611.7;33 599 181.5;54681456.4;55216825.3;60236129.9;63752460.3;69871203.2;78209944.9
Novgorodskaya oblast';2 211 572.1;2 355 897.3;4 299 326.8;5 290 976.4;7 894 713;8 392 166.9;8 811 872.5;9 404 593.3;11 706 071.3;12 726 030.5;13 047 382.1;12 778 797.4;14021068.8;14612306.6;15715326.2;16053822.2;16827359.2;17416159.2
Pskovskaya oblast';2 334 823.4;2 688 300.5;4 783 347.8;6 257 882;8 532 363.7;8 804 874.8;9 481 445.2;9 967 113.3;13 178 637.7;14 439 631.9;14 976 324.9;13 838 340.4;17452248.8;17960818;19039787.7;20014270.9;22018447.9;23241605.8
Gorod Sankt-Peterburg gorod federal'nogo znacheniya;14 246 954.8;21 534 434;34 693 645.5;43 179 572.6;55 181 077.8;61 741 293;67 080 923.1;75 203 096.9;94 954 345.3;103 644 277.6;113 501 442.2;114 648 719.1;222651784;237463145.6;247170521.1;265557955;271888945.3;292693762.3
Respublika Adygeya (Adygeya);1 049 582.9;1 725 920.2;2 761 771.7;3 381 632.8;4 144 769.4;4 545 631;4 745 104.9;5 437 852.2;6 819 270;7 412 849.1;8 413 423.4;8 394 424.7;9137249.2;9441224.5;9850029;10435911.2;11286301.7;12078347.3
Respublika Kalmykiya;876 741.7;1 057 437;2 042 920.6;2 739 112.1;3 423 859.8;4 019 858.7;4 095 314.4;4 468 862.2;5 643 203.7;6 370 351.1;6 718 482;6 579 438.5;12579460.1;12667044.8;13496468.3;13995391.4;14530717.4;15482570.8
Respublika Krym;;;;;;;;;;;13 998 051.3;22 023 892.4;38123718.7;39531488.7;41401252.3;43449741.8;46514506.3;49340496.8
Krasnodarskij kraj;11 055 355.1;13 981 370.6;22 953 931.2;34 034 239.4;38 249 390.8;47 132 675.9;60 653 076.9;55 415 197.4;76 300 728.6;82 648 075.2;88 920 808.5;89 655 184.2;125969945.9;128970861.8;138688779.2;145875807;157681730.9;168235432.5
Astrahanskaya oblast';2 525 016.2;3 384 611.5;5 649 345.7;7 195 205.3;9 409 347.9;10 378 941.4;10 687 741.6;18 148 888.9;22 022 538.7;24 335 881.1;25 182 105.2;24 653 472.4;33699121.9;34724478;36179241.4;37876298.6;39151926.1;41373046.1
Volgogradskaya oblast';5 899 855.2;7 697 112;13 563 156.5;17 463 282;22 044 517;24 399 648.5;25 270 936.2;28 462 260.1;36 146 185;40 155 352.9;41 666 865.8;41 047 944;63824962.8;64662953.4;68839933.5;71088212.4;71960360.3;76022465.5
Rostovskaya oblast';8 949 727.6;10 044 068.6;19 318 494.7;24 444 395.8;30 725 535.5;35 579 734.9;37 155 710;41 711 854.8;52 785 760.5;59 957 764.3;63 952 535.3;63 140 312.4;82646166.3;83593066.2;88571710.5;96257836.2;108806218.9;114064402.1
Gorod federal'nogo znacheniya Sevastopol';;;;;;;;;;;3 227 113.4;5 438 489;17886838.8;18969041.9;21189459.3;22728553.4;24286009.9;25062803.3
Respublika Dagestan;3 457 565.1;3 738 823.3;7 850 674.1;10 040 251.3;12 712 511.4;15 412 203.6;16 818 305.9;19 846 787.8;28 838 363.6;34 376 047.3;37 468 688.8;35 686 584.3;41662294.4;42155900.3;46549619.7;46978136;52063348.6;54195939.4
Respublika Ingushetiya;790 388.2;1 042 036.4;1 505 963.8;4 681 088.5;7 521 267.2;4 353 964.9;4 481 310;6 545 259.2;10 498 925.2;11 616 992.5;12 132 160.8;12 531 704.5;14534566.8;14881346.3;16801493.1;18734265.3;21017533.6;20830423.9
Kabardino-Balkarskaya Respublika;1 324 693.7;1 885 393.8;3 801 514.4;4 534 380.1;5 811 613.1;6 830 023.5;7 327 552.1;8 089 388.7;12 096 118.1;12 504 959;13 176 939.3;13 444 056.1;17621518.6;18202197.9;19671945.8;20668797.5;21703558.2;22771371.8
