Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgorodskaya oblast';24210400;31720255;32314899.1;46440247;58482411;25664959;66771943;105868988.4;87166054.3;86204637;76858672;72385828.6;80102785;116547918.6;167581793.4;183897858.2;202669875.3;428670357.8
Bryanskaya oblast';101801.4;89989;102450;122447;123527;88475;96962;150399;151998.5;162800.9;200608.8;201915.7;181425.8;141308.7;166779.8;183694.2;138200.5;164586.9
Vladimirskaya oblast';368599.4;233079;407461;574489;756875;714565;876725.6;938224.5;1119662;1506966.4;2245182;2009945.6;1233536.5;1732580.7;1781287.2;2053099.2;2212331.7;2732343.7
Voronezhskaya oblast';504565.2;533028;921765;1267912;2120279;1597134;1904029;1949013;3576329.3;5903051.6;3977468.2;3697734;3463897.6;4653348;4442198.8;5821799.5;5732333.6;5278541.3
Ivanovskaya oblast';110695.7;129514;188905.7;221313;316691;172662;236668;319549;389220.4;257098.1;395057.3;426502.1;415733.8;207721.7;391371.6;589512;583546.6;631272.2
Kaluzhskaya oblast';321635.7;293073;387031.7;608202;1060519;884665.1;776751.7;1017151;1046816.9;1274425.4;1426224.2;2016753.8;1559688.1;1582736.7;1645797.4;2025265;2095564.8;2284404.3
Kostromskaya oblast';31468.1;51100;48737;56426;80998;43215;58876;109532.6;89221;133177.6;169258.9;320023;137694;101714.8;238554;482830.6;387676.2;481537.1
Kurskaya oblast';14933079.3;15578113;15345440.7;18655316.8;23943528;10694708;23391417;34035770;31278478.2;32040174.2;27625266.3;28770474;31401560.3;36982613.9;49607863.1;64611833.2;64641011.3;135756551.9
Lipeckaya oblast';563994.3;826688;874163.7;1519332;1688427;1563522;1949258;2261046;2559242;2927340;2657813.4;2514645;2272774.8;2355053.3;2447550.1;2959604;3632144.8;3640531.5
Moskovskaya oblast';1523095.6;1280026;3358075.2;5051648;5349134;4716803.7;3498048;3548859;4565152.1;4531683.8;5989961.3;6639757.4;6426244.4;9656376.5;6937666.9;9742060.3;9868339.1;12118647.3
Orlovskaya oblast';44184.8;30500;34621.3;38921;63228;83569;110391.9;166383;142511.5;138994.6;159633.8;267662.8;276283.9;252260;308411.3;432958.7;471310.9;435435.5
Ryazanskaya oblast';193614.2;321852;293757.5;503650;582698;452678;524647;725544;865326.7;1035582.3;1047325.8;857259.6;881511.4;779337.3;644420.9;590821.9;485681.5;569392.3
Smolenskaya oblast';319780.9;335206;422131;548706;809990;606899;633549.7;788195;932658.2;1077490.5;849214.2;651177.2;734226.2;747104.3;981543.7;1070520.4;1093892.6;1074143.5
Tambovskaya oblast';6254;2985;6899.5;14529;45041;41758;60571;64321.7;75161.5;98119.1;88528.9;100087.1;94788.4;98414.1;128921.7;168529.7;194893.3;279894.4
Tverskaya oblast';67027.2;49755;116722.3;197396;358008;387627;317496;343961.4;687051.9;341977.3;339669.4;181188.7;324886.8;474609.6;557536.4;398947.9;389783.6;397741.4
Tul'skaya oblast';256050.3;330789;392085;558990;1194664.5;738941.3;608732.7;778418;1055604.7;1287375.4;2047488;1881513.2;1695342.8;2805925.7;2880747;3264060.2;3703075.6;4452644.1
YAroslavskaya oblast';109282;106209;152468;197797;270747;108915;232546;624071;344996.8;508889.1;505967.3;525390.8;550262.1;626080.6;732240.1;910802.4;809230.9;1150821.1
Gorod Moskva stolica Rossijskoj Federacii gorod federal'nogo znacheniya;652956.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Respublika Kareliya;4687383.9;14875601;10685141.5;12891099;15794142;5070325;15376294;22098079;21920167.6;21746144.9;22248652.1;17404313.5;30467121.7;44134566.1;47952248.5;60742139.9;53709040.4;137684670.2
Respublika Komi;37599926.3;58692126;70810257.9;64292873.8;94259166.5;88963999;118475222.6;145788357;154347506;160608258.3;160888969.4;189859704.3;191568599.3;213361922.4;293670244.1;314606996.9;201058596.1;410977054.2
Arhangel'skaya oblast';29956198.3;34405085;44422084;59389651;61788472;102109020;116005608;124159242.3;121825802.2;133449083.1;146298456.8;172356442.2;204198136.9;212176120.7;280214280.8;286754802.1;198135239.1;380860959.6
Vologodskaya oblast';52782.7;60993;77501;96071;124010;112245;109568;170883;233479.9;218171;159890.6;216655.4;186738.1;205657.4;266516.2;217905.9;205519.8;353143.5
Kaliningradskaya oblast';6110930.6;11940699;13145507.4;17616847;15350479;12370289.6;11590273;13856539.1;12647210.8;11828433.8;10610172.6;11680330;11958187.8;13932215.8;15256544.5;14428943.7;11025839.6;17527576.3
Leningradskaya oblast';1266598.8;1722987;2831180.9;3313015;6327184;11716683;4320251;5751776;8456004.3;6524305.8;4874590.8;5157586.4;5430453.8;5958940.6;7726060.3;7881636.4;8198613.4;9294836.6
Murmanskaya oblast';23384027.5;14318360;15675990;19061160.9;40098362;22531957.7;35390389;49036667;45852029.7;55535043.9;40977000.4;58307416.6;67118612.4;59850436.1;57891044.7;63680589.1;68765439.8;129923948.6
Novgorodskaya oblast';17732.8;30166;75174.2;90538;104334;174824;266121;565992;552710;611945.8;848550.3;2444456.5;2602817.8;2148684;1157888.9;671609.4;660272.7;751319.1
Pskovskaya oblast';34896.8;41992;63078.7;101649;162686;163030.7;185303;215956;247667.8;379415.2;383809.6;541908.3;568395.2;571630.1;661573.4;927189.3;908058;1140639.7
Gorod Sankt-Peterburg gorod federal'nogo znacheniya;126167.3;378998;672133.6;922649;671919;565183;580742;901769;1237776;6084573.3;12817975.2;12576954.4;11709311.5;10495435.2;13033183.4;13760077.4;13538431.1;17773469.8
Respublika Adygeya (Adygeya);118523.1;213017;296701;694531;1109311;410809;314399;433065.2;625559;601071.8;551267;596954.4;1069812.8;1291256.7;1756154;1414645.3;1448528;2009031.5
Respublika Kalmykiya;462308;628458;632209;552173;319915;593624;832737;860239.8;1060388.9;1196513;940931.2;938013;608220.7;764969.9;926212.2;1116778.4;744855.8;417346.8
Respublika Krym;;;;;;;;;;;10785230.2;7520085.9;8688978.3;8901344.5;11479724.9;14580760.8;4413420.6;13893400.2
Krasnodarskij kraj;5490455;7133285;7925324.1;3887020;4881056.3;6529195.6;8188028;8819030.6;9015267;10043338.5;11128386.9;11917643.8;14419317.7;22673889.7;12821606.5;12681143.2;11848026.8;13455910.9
Astrahanskaya oblast';1061019;1913641;2780394.5;3115804.5;3933988.5;3658166.4;5064596;30287794.8;40661147.4;57104248;62241855.2;80930124.1;96782398.8;158158072.7;291716911.3;288359963.1;199610527.5;323105936.5
Volgogradskaya oblast';9282854.9;13888236;17709676;19259442;19777965;18890849;24412040;31311806.5;33728546.1;36016660.8;33240724.6;37829425.8;35381026.8;37195640.2;54468645.7;49747252.8;25859879;41312374.7
Rostovskaya oblast';2379760.1;2779978;4326105.3;5683757;9794832;5110658;5935815;7481393;8358713.2;7592516.9;9099186;12072018.3;11152704.5;16117170.8;17082975.1;19501114.1;18095490.7;26625479
Gorod federal'nogo znacheniya Sevastopol';;;;;;;;;;;288726.6;314417.6;845303.8;967106.3;1486504.9;914842.8;420104.9;939606.6
Respublika Dagestan;1485818;1679761;1347091.5;1398554;1278716.1;1182075;1391786.8;1855847.6;2100789.2;1907599.6;2061988.5;2122929.3;2470151.9;2505546.7;3185126.2;3486512.9;2380938.9;3588085.4
Respublika Ingushetiya;248169.7;762224;623603.8;468704;405744;450537;385525;504489.8;718246.7;922874.4;908054.6;668815.1;816175;889049.6;984185.7;981623.1;683882.7;1120335.7
Kabardino-Balkarskaya Respublika;38829.9;48694;90416;92769;158114;97060;104682;143070;129087.6;231598.6;69585.9;167498.5;314278.3;348155.6;163157.4;132575.1;90468.7;105522.8
Karachaevo-CHerkesskaya Respublika;274477.4;326530;474979;535372.7;600764.1;566897;736981;638313.4;779468.9;881383.7;1033342.5;1554487.9;1650373.2;1594050;1677237.3;1376904.3;1396603.7;2052261.7
Respublika Severnaya Osetiya-Alaniya;60029.3;27179;77108;143247;230153;206273;202130;255710;233409;295538.9;360795.2;385435.1;375680.8;412826.9;440023.9;515072.1;506369.2;403885.6
CHechenskaya Respublika;0;2315355;2860788;4547671;3086482;2236405;1910938;2073636;1969360;2230409.5;2442058.1;2114342.7;2768819.9;2547323.5;2393656.6;2415343;2241570.2;2426503.4
Stavropol'skij kraj;1994173.1;3016076;5005151.3;2289141;2812608;2212848;2623904;2903270;3353858;3427953.8;3763855.1;3407885.4;3590888.3;3796036.6;3993703.5;4350552.4;4748212.6;21224390
Respublika Bashkortostan;36860615.7;48402151;64225090.7;73537292;88038296.6;52142514.3;67031693.4;45099318.8;33128002;35751193.6;39532264.6;48220609;49228519;48414494.6;56476862.5;62630687.9;64935635.4;86553108.7
Respublika Marij El;37383.9;29419;14256.3;75352;79916;20512;62848;122583;146060.6;161668.4;192945.7;173035;172673.9;214696;278271.9;287917.6;347943.1;362858.9
Respublika Mordoviya;5169.4;11201;9003.2;31896;48918;32337;63564;103736.7;60243.9;73218.8;118623.6;153333.7;76558.2;33133.2;47714.4;53864.6;86542.5;78759.7
Respublika Tatarstan (Tatarstan);102800354.1;149220306;168369361.8;191361842;203625745;202338283;217434446.6;290894232;313981817.2;316660645.1;329628831.8;399853434.4;410505045.8;534219803.3;753615037;804486085.6;557593772.6;1020616939
Udmurtskaya Respublika;19527262.4;37260465;40722475.7;55123096;63662877;56183956.1;64575343.8;86888320.9;95477877;101514935.6;107511097.7;127709618.4;123004667.6;134824700.3;178635825.2;193407896;140757744;249931418.5
CHuvashskaya Respublika - CHuvashiya;37672.7;81907;130413;142993;172158;69899;128052;210041.4;292764.7;389553.1;385065.3;379080.8;266604.4;297823.7;325231.5;298326.7;248964.6;84476.3
Permskij kraj;36475774.3;51348165;61005542;66805328.9;73495805;71688946;83851559.2;131078648.5;155442406.5;140548453.8;149697243.6;173811618.6;184135211.8;222388590.4;325782722.8;337819852.3;240692993;461423463.8
Kirovskaya oblast';137568.3;180905;240388.6;300877;350727;410006.6;529382;686823.3;861308.9;835554.8;941744.5;739555.5;895943.3;781439.7;1382777.6;982814;925757.1;1091281.9
Nizhegorodskaya oblast';66730.7;108827;173587.1;306360;428176;330413.3;330388;473950;611977.4;836949.5;910416.9;1201488;1042518.4;1011232.3;1116114;764371.3;715446.4;1119352.9
Orenburgskaya oblast';56278441.4;78637730;129239698.6;140225064;146808943.8;143898926.7;164000144;195384068.1;233146950.7;290751961.1;263406166.7;286365062.1;266104436.7;297016521.6;411255702.9;453150239.7;373637971.2;619524571.2
Penzenskaya oblast';899822.5;582754;677621;938631;913382;711005;997211;990749;1227242.5;324690.2;333180.4;227597.6;544235.9;548162.3;480639;987828.8;1222299.4;1939947.4
Samarskaya oblast';29994662.8;43464873;50723799;59851395;69182469;69102539;82742513;116815931.8;137789285.7;139789568.5;166587560.5;202101367.8;193987156.2;222552839.9;314527299.6;317101317.2;213953279.1;439905282
Saratovskaya oblast';4540661.3;6890320;7359068;8825265;9900803.1;9249057;10403532;15812887;14651586.2;14916761.2;12876504;16330196;12439250.8;17983447.2;27407851.9;25901111.7;26422767.2;44397612.2
Ul'yanovskaya oblast';1153385.5;2676370;2500613;3182641;3544160;3056122;3712327;5145063;6418511.6;7371507;8226825.9;9347916.2;6998943.2;3733257;4527227.3;9068327.9;10481844.8;15767368.5
Kurganskaya oblast';101646.8;273722;311573;550777;667193.4;691087;938286.1;1044916.2;1403501.1;1384260.4;1300701.5;1376110.9;2011204.4;1771337.5;1943936.1;2268319.5;2165100;2050951.8
Sverdlovskaya oblast';14645626.9;20944278;22680782.1;29924484;31953536;22425342;31920670;51894466.9;28898892.7;29384534.9;25215301;26995401.6;26931161.9;33310743.4;44292125.4;51810342.4;57658507.1;92530379.3
Tyumenskaya oblast';872311232;1325895891;1478080081;1528546500;1633493169;1450471444;1641711390;2139593445;2520564755;2631835049;2802563762;3260930520;3256825816;4014822505;5597121285;5754121728;4062514747;7574822161
CHelyabinskaya oblast';2687280.2;3319109;4901496;5654085;6314931.5;5395454;7660886;10275872;11811046.6;12877926.8;17040171.2;28745540;29719812;29695920.8;37212016.9;39070220.1;79837063.5;131774868.2
Respublika Altaj;80909.3;76381;133472;194358;287599;317894;236416;507868;455494.9;264860;338943.4;439394.7;503522.1;556401.1;501934.5;485321.6;510568.1;656811.5
Respublika Tyva;443147.3;592546;789641;1174395;1045463;1277768;2129441;2071551;2223960;1866034.9;3043811.8;4627002.8;9881265.9;14264399.8;17141128.8;15819768.3;9673280.7;12633168.6
Respublika Hakasiya;2196441.4;3046386;3822391;3409117;4917490;8338480;14767752;17749634;15545294.1;17119708.2;17544309.6;22437100.1;24097234;25877422.4;39673813.2;37470986.3;38610945;52515090.6
Altajskij kraj;167697.3;254451;732614.2;1158740;1751855;2112967.1;2737642;4002720.1;4203979.7;3502702.1;2929784.8;3842131.6;4059161.2;4649013.1;3212985.2;2999613.1;4364395.5;6543553.5
Krasnoyarskij kraj;15248454.2;17342749;21536135.1;25870313;32648855;37533209.8;191445306;194451838;182278562.2;216276097;239249538.2;314210605.7;337794318.6;401212522.3;584514340.4;605825086;437901663.1;697577473.1
