Region;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Belgorodskaya oblast';5038801;5651309.2;8044087.6;10898209.1;15366959.4;19053447.2;21410397.6;26453158.6;29688076.8;32875594.8;37455577.8;50507839.7;70297854.6;79454140.5;77728806.4;83804489.4;91465151.4;103767587.4
Bryanskaya oblast';3343587.9;4256565.8;5168117;5893152.2;8576276.8;9118318.5;9574403.9;13322966.1;16248327.3;15903169.3;17692640.8;21498976.4;41759420.5;42256917.6;43065889.7;46947549;49748488.1;51076581.6
Vladimirskaya oblast';4198198.9;4898117.9;6271888;8487037.7;10316094.1;16547658.8;20774435.6;30051631.6;33419536;33301201.5;35733491;38106710.1;61797447.6;60898631.1;64957703.5;68460244.2;66687128.3;84631506.1
Voronezhskaya oblast';10701009.5;12692699.1;16022830.7;21802586.5;27088164.5;28895420.7;39589758;80023000.2;91529967.8;96334666.2;109513418.4;134587365;87418843;85185487.9;95490192.2;91809018.8;98225705.5;124355846.7
Ivanovskaya oblast';2037814.6;2342979.8;3407050.4;4760986.8;5671679.8;4954501.6;7528359.8;10183217.2;13375973;15986530.1;18747438;20340713.8;31307218.3;31770258.2;34427127.7;35475463.2;37514733.8;38553652.9
Kaluzhskaya oblast';4529565.4;5371732.3;6838152.1;8708826.6;11598663.7;12837902.8;18197629.3;23390330.3;27940637.8;30997297.5;41523919.7;44837213.7;56346511.3;64182880.1;69931594.7;72075474.6;73064679.4;80628771.9
Kostromskaya oblast';1261572;1600784.6;2863671.4;3231124.4;4274967.4;4188466.5;5187629.6;8439496.8;9382354.4;9860010.4;10827826.1;14416828.7;19540273.9;19407792.7;20240269.3;20488506.2;22697636;26250367.5
Kurskaya oblast';2406094.6;3234548.4;6910307;6198223.9;7391829;9336640.7;11635214.9;14676134.9;16761816.6;18874039;22105029.5;25011925.8;34062222.8;35495226.1;35313875.9;40746606.9;47073155.5;55457011.9
Lipeckaya oblast';4130481.1;4429274.2;6094222.2;8501365.3;10677107;11459792.1;12556034.3;17943485.4;25144541;26603083.8;30690653.6;37670026.5;48056340.7;53250178.4;56800110.4;58430681.5;60219135.6;72872878.5
Moskovskaya oblast';61813337.7;80008105.5;97935659.9;138302593.5;167188276.6;226329236.9;261091832.5;317719481.7;375880649.3;440394381;488026718.4;548951235.7;805691531.6;756314072.3;756141393.2;802189338.9;896049915.1;1160941986
Orlovskaya oblast';1798105;2199122.4;3198224.2;3714826.7;5048435.5;5137585.3;5863104.8;7175489.7;9415138.9;10862284.9;10746284.4;14175542.2;19783653.2;23846201.3;24775189.4;26336717.9;27098354.6;36851904.6
Ryazanskaya oblast';3433691.8;4573270.8;5650175.5;7409300.2;8475993.5;10621314.8;12659070.7;15728493.4;19200119;21471005.9;23752936.5;28717928.9;42487259.9;50400572.4;51871835;55803702.5;65019699.8;77028596.4
Smolenskaya oblast';2115938.1;2427399.2;4065800.2;4729321.4;5151787.5;6395368.6;8224912.8;11983938.6;13963094.6;14501043;15727207.1;17544433.1;27636717.6;29981027.5;32515642.7;31537576.6;35177670;38365875.5
Tambovskaya oblast';2270915.4;2733499.2;3906027.7;6497759.6;5860453.7;6587333.1;7211159.7;9072812.6;10523178.4;14431236.4;17372231.5;28452751;29248234.7;28941033;28749845.3;29582078.6;30912541.8;35729026.9
Tverskaya oblast';5717025.9;5972441;8976024.1;11285477.5;15307641.1;16527892.8;16784243.8;20521789.7;22481634.4;31146258.4;32675365.5;34348025.7;51028839.2;48631505;53177451.6;59959869.7;62991581.3;77722867.5
Tul'skaya oblast';8079949.9;8862416.1;15031519.7;21760071.2;31926396.3;28013152.2;29508189.4;30216758.5;34593272.6;39858278.1;43513395.8;54748771;58166670.2;66199671.2;69025655.8;70553070.4;76229296.8;90958137.8
YAroslavskaya oblast';7817516.3;8503784.8;11956317.4;15403892.7;17232970.4;16288574.6;20976443.2;26195185.2;32149621.4;34648328;39741366.4;52176550.6;56942780.7;56978855.7;58824710.6;67338668.3;63326200.6;70708155.1
Gorod Moskva stolica Rossijskoj Federacii gorod federal'nogo znacheniya;421462484.9;662817098.5;833690774.7;1182100200;1530926916;1603647067;1682627785;1889449633;2246750427;2304300813;2566226693;3236969207;2050736284;2288962168;2363276285;2424726170;2644921091;3410066469
Respublika Kareliya;3210094.1;3751116.6;4312319.8;6799456.5;6640357.6;7461536.3;8337011.8;12043629.2;14403603.4;14874946.2;17708491.9;18096336.1;22553893.4;24951813.2;23922965.3;26156858.7;28116990.1;36031858.7
